"georeg_agg","doymin","mean_pai","median_pai","sd_pai","se_pai","mean_tocpai","median_tocpai","sd_tocpai","se_tocpai","mean_uspai","median_uspai","sd_uspai","se_uspai","n_used"
"NWA","17",3.9886700986362,4.20875382423401,1.38081190924265,0.00333622891925473,1.50715920112782,1.50531542301178,0.886794340641453,0.00214261544593872,2.4792375896804,2.50525983795523,0.935667778911749,0.00226070030387582,171300
"NWA","33",3.98600786706278,4.22822451591492,1.43357062845053,0.00300077013786532,1.53824492201495,1.54519027471542,0.906668233995053,0.00189785065871788,2.44706394511674,2.47072261571884,0.959163234872917,0.00200773393052554,228230
"NWA","49",3.81749482120835,4.01156425476074,1.32099655890203,0.0038244476767385,1.28702370712654,1.2335616350174,0.869768732601792,0.00251808756524203,2.52938159281158,2.566241979599,0.927352500495261,0.00268479966290341,119307
"NWA","65",3.8122931567711,4.04051327705383,1.4252188605241,0.00326399502960258,1.34261141057522,1.29406118392945,0.877860462847579,0.00201045065202507,2.46954359986663,2.50588503479958,0.977323659031117,0.00223823838832549,190662
"NWA","81",3.94695920337414,4.16643953323364,1.36355589630472,0.00303960304158905,1.52686334255887,1.53475558757782,0.894718065564703,0.0019944820456758,2.41856501895181,2.43246924877167,0.915874394245966,0.0020416431786977,201239
"NWA","97",3.8286743483786,4.06057262420654,1.38269880107526,0.00288318271388469,1.4027575457857,1.37615072727203,0.888655584850307,0.00185301124065851,2.42465619421618,2.44673418998718,0.96226705616412,0.00200650477191099,229991
"NWA","113",3.90741096252465,4.1453914642334,1.44559720459096,0.00242671842503151,1.51920606608522,1.50927603244781,0.915846343730722,0.00153742770791948,2.38773759391986,2.40707516670227,0.962771531570737,0.00161620083889108,354859
"NWA","129",3.90333195664228,4.14489316940307,1.46615781173961,0.00246253493194543,1.51297601477393,1.49742513895035,0.92719704914142,0.00155730515775676,2.38896002610763,2.40700924396515,0.969809473226495,0.00162887629560028,354484
"NWA","145",3.90473947850048,4.15970373153687,1.45425743526659,0.00208701970613691,1.50846834683105,1.50454711914062,0.895514324957325,0.00128516175884032,2.39384074951761,2.41853475570679,0.96998943075549,0.0013920417442185,485545
"NWA","161",3.91317870207935,4.16524791717529,1.4855702636813,0.00209304599050094,1.53566690278975,1.53718322515488,0.913077570522663,0.00128645099778921,2.37476361968461,2.40010839700699,0.980253523377439,0.00138109637553954,503766
"NWA","177",3.83495720811924,4.10263347625732,1.52608732887428,0.00220004909211404,1.4733623723343,1.45360469818115,0.920473828998203,0.00132698016259399,2.35989742949324,2.39458763599396,1.00946269098118,0.00145526893172906,481165
"NWA","193",3.9741752069096,4.2191731929779,1.44347442894456,0.00254843943304621,1.56740276756591,1.57204389572144,0.90158255414627,0.00159173483579675,2.40196831622355,2.42419248819351,0.966584111202939,0.00170649442411432,320826
"NWA","209",4.04169249406286,4.2871561050415,1.45817937889245,0.00185468876560734,1.65241898779787,1.67551720142365,0.896747173313743,0.00114059143340678,2.38791494307643,2.40401178598404,0.947056444834704,0.00120458084516673,618130
"NWA","225",3.85525638849325,4.08216452598572,1.40234254875872,0.0020861910818121,1.46570438509039,1.46108990907669,0.869288668515078,0.00129319492543507,2.38710015265813,2.41401273012162,0.940122408946649,0.00139857054689827,451856
"NWA","241",3.88977064141498,4.11447763442994,1.41918259545001,0.00189477488660125,1.51329294974179,1.50736355781555,0.892699239484341,0.00119185797915357,2.3762539670158,2.40083035826683,0.929356361780744,0.00124079952829952,560998
"NWA","257",3.83670279678442,4.08585357666016,1.41592874994651,0.0022656426065439,1.42050507523407,1.41070687770844,0.882023331518662,0.00141133488526874,2.41564104494687,2.44747018814087,0.959194910553238,0.0015348179471683,390571
"NWA","273",3.8919617001829,4.12668561935425,1.43413231846307,0.00193118179223417,1.52407279536657,1.52697157859802,0.903216105626484,0.00121625771568123,2.36546996951635,2.38315582275391,0.942936813111767,0.00126974504462759,551483
"NWA","289",3.73066650386139,3.99110901355743,1.44559610168628,0.00273697815267303,1.33084082073179,1.30096554756165,0.876030765726641,0.00165860786707046,2.39710164085155,2.44209694862366,0.992404945250816,0.00187894160103762,278966
"NWA","305",3.83509457067627,4.07162022590638,1.40412197136799,0.00263503845521556,1.3919918211526,1.36573404073715,0.868937612000051,0.00163068741141665,2.4424441793539,2.47603717446327,0.974443579386325,0.00182868465594854,283946
"NWA","321",3.91241708051297,4.15438556671143,1.39572664998766,0.00234637884935618,1.49918962557356,1.4961154460907,0.887139482527997,0.00149138466206895,2.41132284427822,2.4339682161808,0.944124578743537,0.00158718323730563,353838
"NWA","337",3.95226701140675,4.17363882064819,1.35568945914788,0.00284100519926529,1.45146962638733,1.44328022003174,0.888437804052962,0.00186182492126538,2.4988952039665,2.51874909922481,0.942521042129431,0.00197516264734383,227707
"NWA","353",3.82175515169713,4.03290605545044,1.33016661473091,0.00338261167995634,1.31419209318594,1.27119779586792,0.862446918820928,0.00219320120399818,2.50448465595434,2.52922165393829,0.942089068137355,0.00239573106868665,154635
"Southern","1",3.54271420639443,3.82813739776611,1.54495260816547,0.00323785569546834,1.20635424619757,1.1040940284729,0.895951427546204,0.0018777025374184,2.33570094367838,2.40386080741882,1.08799605569274,0.00228018271042947,227675
"Southern","17",3.52621503330423,3.81716680526733,1.52606395196895,0.00341476536468864,1.10356664668401,0.98495203256607,0.850460455174888,0.00190301520629041,2.42146318652133,2.50761413574219,1.11375717307429,0.00249217564858974,199721
"Southern","33",3.48753145794296,3.79157876968384,1.59803230468265,0.00314923107009933,1.11596121615882,0.970815658569336,0.88434452733671,0.0017427715660067,2.37106090200738,2.45631784200668,1.13961903687424,0.0022458392539904,257491
"Southern","49",3.4602810655167,3.71987092494965,1.48454813570058,0.00381363601467613,1.13663215176746,1.03312093019485,0.853904567617771,0.00219358411751789,2.32323401831528,2.37759155035019,1.05809879769744,0.00271813596672647,151534
"Southern","65",3.50080545683292,3.78818798065186,1.58091368535247,0.00282793388116993,1.20257420549927,1.0933200120926,0.902245883527078,0.0016139348572996,2.29757713140493,2.35834315419198,1.09272432494909,0.00195466214881498,312520
"Southern","81",3.35295630212702,3.64295434951782,1.55220463870213,0.00314145176867446,1.00873105571584,0.860736072063446,0.832098306654706,0.0016840541717084,2.34231589853489,2.4310405254364,1.12151820032176,0.00226980080213349,244139
"Southern","97",3.33922428661998,3.62678551673889,1.61280746460043,0.00228675936691207,1.06040917871866,0.925932824611664,0.858464995702188,0.00121719604675469,2.27795569358098,2.35585951805115,1.14215407032501,0.00161943169045261,497421
"Southern","113",3.43694004442373,3.7255951166153,1.60649345145842,0.00210506756343786,1.13753938918232,1.00117927789689,0.894888682873722,0.00117261675576389,2.29874451996885,2.37360143661499,1.12019187796103,0.00146784263887387,582406
"Southern","129",3.47516444430165,3.78211867809295,1.63237756617583,0.0018619433882277,1.16620174648987,1.04964810609818,0.901065917770234,0.00102778533760424,2.30790936655628,2.39045387506485,1.12700559161534,0.00128549953961926,768614
"Southern","145",3.55508241582939,3.86185789108276,1.59140766686346,0.00171108322243649,1.21686222772252,1.12253749370575,0.895771402453315,0.000963134368264784,2.3363106736191,2.41393566131592,1.10179185619648,0.0011846477800818,865009
"Southern","161",3.64670000277679,3.94490027427674,1.61989043281021,0.00127888176957067,1.30932179263467,1.2284933924675,0.927405955308576,0.000732174562681898,2.33602475873228,2.40289759635925,1.0856488817371,0.000857105230629522,1604392
"Southern","177",3.64666540630871,3.94626069068909,1.62867774617535,0.0014229003493378,1.31987366724426,1.24357533454895,0.937699880491517,0.00081922497600194,2.3251997563664,2.39831972122192,1.0843146952872,0.00094731555234878,1310151
"Southern","193",3.57200165699018,3.88243365287781,1.66928970955034,0.00169593264259761,1.25080779656174,1.15278375148773,0.92841391659308,0.000943231997408187,2.31849661996563,2.40468972921371,1.12011208224134,0.00113798978857467,968827
"Southern","209",3.53588675762697,3.79703378677368,1.59069907771436,0.00131761450208916,1.24020430712518,1.14362251758575,0.903855027480949,0.000748684970451054,2.2945835376805,2.37269687652588,1.06051379086163,0.000878449211470375,1457469
"Southern","225",3.47607792367107,3.72558808326721,1.56519044622431,0.00131618051481329,1.18360618322229,1.06993770599365,0.88232617558385,0.000741954771583601,2.29142921520069,2.36245441436768,1.06531525896488,0.000895831679375009,1414176
"Southern","241",3.51981852591501,3.76383793354035,1.52170791185967,0.0013770249614014,1.2185807102786,1.11977016925812,0.886179426769259,0.000801922091244403,2.30107086467371,2.36293685436249,1.02646277487391,0.000928867394284188,1221178
"Southern","257",3.47981214397141,3.72578370571136,1.52357409595162,0.0017047378381527,1.15485226384754,1.0312819480896,0.885084099265346,0.000990326862325999,2.32445754164542,2.392184689641,1.04609667824377,0.00117048497641603,798752
