"region","truedate","mean_ndvi","se_ndvi","mean_cci","se_cci","mean_pri","se_pri","mean_cire","se_cire","mean_car","se_car","mean_chlcar","se_chlcar","doy","n_per_date"
"all","20240828",0.64555509612506,0.000179971941152989,0.107347017797644,8.62592375856884e-05,-0.00984291357232304,4.6592635387454e-05,1.78565981574447,0.000884963418084072,1.85776627198438,0.00321301126949916,1.57481364707543,0.00312126112126364,241,157992
"all","20240905",0.662685866353242,0.000197159591306734,0.106138584276561,9.68315481974972e-05,-0.013476861910491,4.70845523961825e-05,1.83576632932158,0.0010241825506978,2.03950271996559,0.00360063775964018,1.32509530570386,0.00306485820951365,249,117710
"all","20240913",0.667709437090812,0.000204862501846734,0.115343490720556,8.93534459439893e-05,-0.0111784401259799,4.87587384960682e-05,1.89978938733366,0.00114071086268911,2.16155622725189,0.00425466224855918,1.49388502327188,0.00339006239332151,257,137123
"all","20240921",0.675003613237712,0.000194267624800989,0.117840644628628,8.21672375271158e-05,-0.0108372962097936,4.48102678533701e-05,1.91828562387063,0.00106770321169133,2.0924644659466,0.00368346512625936,1.45810177389839,0.00312173868251964,265,140043
"all","20240929",0.698619656547691,0.000193424249567296,0.123029830557393,9.97716850478043e-05,-0.0168029845994868,4.2893887016656e-05,2.04614781184215,0.00111981182750227,2.69279969721548,0.00427560183544358,1.08548865865399,0.00215687208627651,273,146623
"all","20241007",0.711910079050184,0.000178981085005505,0.123541511288045,0.000103494217205158,-0.0200169380850708,3.93084272219262e-05,2.09827692795103,0.00109621847503026,2.97999749799033,0.00397025290655268,0.895914283305953,0.00155834092246492,281,140194
"all","20241015",0.716529548830881,0.000183571808892756,0.129208705835663,0.000115009419713439,-0.0189197459663148,4.95521040739945e-05,2.13575541860402,0.00118013903287894,2.93917258045386,0.00434851801161663,0.991348567711566,0.00214202797067263,289,126361
"all","20241023",0.715755148079357,0.000181630092547863,0.133492167651084,0.00010556967333765,-0.0146653553164895,4.58251840789278e-05,2.16226729274877,0.00117763456830989,2.73412011736836,0.00437053530827205,1.06315325257581,0.00213854140749336,297,121469
"all","20241031",0.721845960210758,0.000161134076388637,0.13303901263965,9.51289729422234e-05,-0.0166687198648472,4.44623114586129e-05,2.20381909429288,0.00106984773066376,2.89178661521657,0.00397422737703133,1.0180718394757,0.00197392105387997,305,137165
"all","20241108",0.729848724268611,0.000170786272979636,0.136108202173754,0.000106931616888234,-0.0196548511976673,4.44538678415419e-05,2.24626996003161,0.00113901512580073,3.27679537245443,0.00428646884657161,0.928818427923713,0.00193616003992224,313,143498
"all","20241116",0.730084240159404,0.000167638387948636,0.136475669145437,0.000100192737167926,-0.0199430234822164,4.66248302630851e-05,2.24917442618846,0.00113603426674096,3.33472154790636,0.00461496615772161,0.927781356694937,0.00193123414376211,321,142582
"all","20241124",0.732366005355094,0.00015240615145079,0.141693031276634,9.01378658849413e-05,-0.0181760401096035,4.45510929563275e-05,2.2712445476498,0.00102414679712072,3.29202522169748,0.00426809870712974,1.0037241473762,0.00203185167518976,329,174040
"all","20241202",0.746149733533617,0.000170837252825757,0.144896664416505,0.000116305095743106,-0.0216447170414213,5.0157335178125e-05,2.36524389099828,0.00127239435968518,3.67974051229747,0.00516180510289225,0.847014059855255,0.0017219475133724,337,127298
"all","20241210",0.741929520710085,0.000161142822180538,0.137581010934178,0.000110163605165254,-0.0245304061943695,4.10990352059134e-05,2.29699863917846,0.00118422398981004,3.75354998166824,0.00445013568017965,0.751211141183463,0.00131851873013112,345,136489
"all","20241218",0.734995915053118,0.000161693938616295,0.140012593733199,0.000104040922119068,-0.0152401216659358,4.08226114359678e-05,2.38028446932953,0.00129412717757707,3.0788291961186,0.00391897200103057,0.996652278504098,0.00179277505130411,353,142129
"all","20241226",0.74269010027408,0.000183454351058139,0.13668499369398,0.000125958557347447,-0.0234247668019157,4.83660105258096e-05,2.37123469055522,0.00139179508716396,3.7618076881212,0.00540830504039569,0.800473028613461,0.00157655173972257,361,113987
"all","20250101",0.736975880016957,0.000188542940267795,0.134673635218451,0.000120079908837795,-0.0210581673737787,4.57037469357721e-05,2.3175568640266,0.00140366717734877,3.3640780804531,0.00454398716935337,0.851039403725412,0.00176985834222006,1,99963
"all","20250109",0.73818438008019,0.000148783305132566,0.126645177219565,8.93862035095366e-05,-0.0251856684549062,4.33019088156226e-05,2.33287960396947,0.00108629102556607,3.77116744470709,0.00457128489739146,0.788659373217919,0.00131314494613672,9,159128
"all","20250117",0.739333938353265,0.000147976415759341,0.131204056352346,8.71769829759283e-05,-0.0249773004178054,3.87133677902003e-05,2.34964364785514,0.00102328797696773,3.7502831522332,0.00422013911668687,0.79166441048983,0.00115919380571194,17,182323
"all","20250125",0.733041531592614,0.000153179193988134,0.132324070287958,9.6870114311766e-05,-0.0223685498855908,3.58899667491018e-05,2.29620597298115,0.00107839768054345,3.44415685970479,0.00393401785212954,0.832985942318411,0.0012564684756839,25,173022
"all","20250202",0.713764128270769,0.000211383931628103,0.121384947819784,0.000132968263780929,-0.0196670664378272,4.60007287467084e-05,2.20088242427181,0.00147982048638718,2.99594374046347,0.00453561734975931,0.923597393963446,0.00176651707190476,33,107967
"all","20250210",0.715325100043374,0.000218998113215516,0.126994244568069,0.000126239851656179,-0.017304078482151,4.74704987021005e-05,2.23118864882637,0.00146376525528331,2.99197419580458,0.0049692160853348,0.995043220532113,0.00200873131007546,41,109764
"all","20250218",0.720082086435347,0.000190304292899838,0.126087367558187,0.000115030581932716,-0.0193427805167309,3.91664911145342e-05,2.26307668487571,0.0013067770943998,3.14142386787848,0.00433455261273379,0.902313416725293,0.00146441347454471,49,135361
"all","20250226",0.706918060059431,0.000201841164024389,0.115609193470649,0.000109134651585048,-0.0205986319467691,4.38265312624974e-05,2.16959339426984,0.0013118223226843,2.90323776470598,0.00424901367538277,0.932369269326247,0.00160834552067212,57,112647
"all","20250306",0.712196330074718,0.000246536591435852,0.12404386395824,0.000147190155266224,-0.016978082701153,5.14755254589681e-05,2.2032402990128,0.00163277294761656,2.83080136588115,0.00492477342486478,0.999211026571712,0.00221990663719462,65,84494
"all","20250314",0.719290067059593,0.000176626026054517,0.122525890239225,0.00010594009986976,-0.0198982523985256,3.65570021521807e-05,2.25049680113293,0.00119937392783204,3.09673883557836,0.0038843095033399,0.891709799377615,0.00130450310302309,73,146730
"all","20250322",0.715471259169503,0.000177848202705017,0.121098981552371,0.000100114753346967,-0.019497749263559,3.93473912832671e-05,2.20123965905602,0.00119078284782075,3.01707537466098,0.00405019640285831,0.931356165942577,0.00159227684543464,81,138973
"all","20250330",0.705173406977403,0.00063111350606362,0.109316030466391,0.000347548346072264,-0.0201468529307864,0.000138528312280808,2.13419304897428,0.00409799426242709,2.86922265089234,0.012588583117713,0.96480866245922,0.00576474207201982,89,12350
"all","20250407",0.732983529236471,0.000267143671181323,0.122240582315943,0.000154340512038725,-0.0260568909855456,5.83125166835991e-05,2.27049463580724,0.00179370268624252,3.76139779808182,0.00724616821767618,0.774898765918176,0.00172354320448416,97,74493
"all","20250415",0.735642551278095,0.000196838925039503,0.122516475775449,0.000116590956764175,-0.0272947422254477,4.53765840411715e-05,2.26226701317701,0.00131990404819691,3.81639853359555,0.00535404493119322,0.746405182046138,0.00130580222099218,105,119459
"all","20250423",0.735037373530399,0.000233991333727701,0.124882665512899,0.000140043539302244,-0.026616716467293,5.1921159845385e-05,2.23828892105837,0.00157647865334871,3.69072015775397,0.00601977706014194,0.750133496139092,0.00155707600855805,113,83207
