"georeg","doymin","mean_sif743_corj","se_sif743_corj","mean_sif743j","se_sif743j","mean_sifparj","se_sifparj","mean_sifsparj","se_sifsparj","ndsif"
"NOA",305,0.5467128921479,0.000524256367736818,1.55156770481081,0.00145655729434924,6.19166415715583e-07,7.66861124610243e-10,1.75764639482349e-06,2.15332804300248e-09,103427
"NOA",321,0.551053218940139,0.000674002879718291,1.57430583823774,0.00188344163471789,6.53766803080478e-07,1.00392961020966e-09,1.86836779901449e-06,2.84373184101491e-09,67567
"NOA",337,0.503774489956146,0.000650875978106208,1.45845053750866,0.00184160487044352,6.13721600779083e-07,1.04778510315696e-09,1.77739606837475e-06,2.99430091402238e-09,69313
"NOA",353,0.49779466246334,0.000743325740946613,1.46080564262115,0.00213609971695967,6.05891653654371e-07,1.11288027390235e-09,1.77945599786679e-06,3.23482685210788e-09,52945
"CA",1,0.457361858787247,0.000558509888576113,1.31365694204547,0.00157545959590162,5.22426152278839e-07,8.87068106233735e-10,1.50082111226877e-06,2.52852665643064e-09,84512
"CA",17,0.463460409498147,0.000623875267851634,1.34605318547675,0.0017882233623574,5.45201392281874e-07,9.62859350697241e-10,1.58382175146617e-06,2.77907475733113e-09,72668
"CA",33,0.458410124379981,0.000589089706731465,1.34002690508681,0.00169470198639289,5.2302598719058e-07,9.24751600623457e-10,1.52887777479286e-06,2.67851160619229e-09,81725
"CA",49,0.421054096167479,0.000607840042231361,1.2346279289721,0.0017541986737261,4.91535563975895e-07,1.05220156589765e-09,1.4404325446847e-06,3.0504428578781e-09,78604
"CA",65,0.424972666718891,0.000593961891989442,1.2448760349498,0.00171665605011018,4.94176087296471e-07,1.02416395515255e-09,1.44731824562507e-06,2.98301092040198e-09,77267
"CA",81,0.431520272146178,0.00059693640768093,1.25399998766647,0.00171325904976875,4.9346916898934e-07,9.16032942896604e-10,1.433948282245e-06,2.64021527183084e-09,76619
"CA",97,0.38509321394914,0.000524121908384934,1.1143339364524,0.00150438610236388,4.76938887430074e-07,9.02023321210823e-10,1.3795206781437e-06,2.58834489942996e-09,80600
"CA",113,0.403703403003566,0.000532482263255227,1.16823847736866,0.00153427176351532,5.12085386780307e-07,1.03692769256436e-09,1.48109462257226e-06,2.9888812685091e-09,74814
"CA",129,0.396467161800075,0.000564748545818434,1.145214159485,0.0016238715655919,5.30346802924101e-07,1.03207282692089e-09,1.5312260194276e-06,2.96692765621421e-09,74539
"CA",145,0.400462271239304,0.000532801565941037,1.16428840075461,0.00154303477800828,5.22872594791473e-07,9.16101859132328e-10,1.51946459927113e-06,2.64715353596503e-09,75588
"CA",161,0.401871096695068,0.000479056732107739,1.17649460026004,0.00139631581833674,5.07006592974052e-07,7.54953436111546e-10,1.48373424509888e-06,2.19559519952529e-09,84082
"CA",177,0.407707667163986,0.000494787218591551,1.20049750071168,0.00144833946526376,5.10415334134566e-07,8.0878679796236e-10,1.50218768537967e-06,2.35731749265998e-09,82659
"CA",193,0.41643068818551,0.000431774595981142,1.22918166473525,0.00126969513969639,4.87708774496774e-07,6.72153890129541e-10,1.43887805448232e-06,1.96133059755773e-09,95819
"CA",209,0.41866431076048,0.000441033198474355,1.22968706233529,0.00129496892173588,4.78267784498905e-07,7.17330690566299e-10,1.40351504532238e-06,2.08006970223435e-09,85731
"CA",225,0.408547351094377,0.000459021724165322,1.19393397792127,0.00133375042713107,4.6253919839671e-07,8.43759062312545e-10,1.35132640340256e-06,2.44608876282056e-09,82662
"CA",241,0.443320247306161,0.000457041760263414,1.27788194746611,0.00130098342264627,4.87819398202951e-07,8.00733538327039e-10,1.40728923706585e-06,2.32674852859457e-09,91725
"CA",257,0.460066378684418,0.000469073919726887,1.30777087528151,0.00131425753995265,4.80575825180621e-07,7.94638336714508e-10,1.36577811699905e-06,2.23817580241346e-09,91930
"CA",273,0.506548187536905,0.000566071548853678,1.41520823017859,0.00153325999768744,5.26969574554698e-07,7.77945377241096e-10,1.47222140835468e-06,2.12909896367932e-09,87747
"CA",289,0.530841298780204,0.000613902210223933,1.47079727836794,0.0016447333914995,5.8953217817906e-07,9.98362881112503e-10,1.63342780259548e-06,2.7121219524882e-09,84587
"CA",305,0.529766230955516,0.00067908237785887,1.46814489149958,0.00183395049020881,6.03068548846395e-07,1.1127675764027e-09,1.6722740161544e-06,3.07427625765207e-09,70367
"CA",321,0.538347410744992,0.00082474533745389,1.49375308794123,0.00223507533402719,6.17105684498909e-07,1.35992377371874e-09,1.71349156289982e-06,3.76787043340556e-09,50991
"CA",337,0.494478479993501,0.000735837435766995,1.38807790630416,0.00201714435605145,5.48507138762295e-07,1.01866864060809e-09,1.53979441825713e-06,2.81420291426591e-09,56155
